numberid,day,month,year,hour,station,lat,lon,depth,taxon,category,fluorescence,oxygen,salinity,temperature
7589,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7590,9,9,2021,10,218,-22.96335,-41.95588,1,Radiolaria,Radiolaria,NA,NA,NA,NA
7591,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7592,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7593,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7594,9,9,2021,10,218,-22.96335,-41.95588,1,Brachyura,Outros,NA,NA,NA,NA
7595,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7596,9,9,2021,10,218,-22.96335,-41.95588,1,Corycaeus,Copepoda,NA,NA,NA,NA
7597,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7598,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7599,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7600,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7601,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7602,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7603,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7604,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7605,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7606,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7607,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7608,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7501,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7498,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7500,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7524,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7540,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7526,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7499,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7490,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7525,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7492,9,9,2021,10,218,-22.96335,-41.95588,2,Cirripedia,Outros,NA,NA,1,21.533
7493,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7494,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7491,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7497,9,9,2021,10,218,-22.96335,-41.95588,2,Oncaea,Outros,NA,NA,1,21.533
7535,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7536,9,9,2021,10,218,-22.96335,-41.95588,2,Tintinnida,Outros,NA,NA,1,21.533
7537,9,9,2021,10,218,-22.96335,-41.95588,2,Cirripedia,Outros,NA,NA,1,21.533
7538,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7539,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7459,9,9,2021,10,218,-22.96335,-41.95588,2,Cladocera,Copepoda,NA,NA,1,21.533
7502,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7503,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7504,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7505,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7506,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7495,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7496,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7508,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7509,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7510,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7511,9,9,2021,10,218,-22.96335,-41.95588,2,Cirripedia,Outros,NA,NA,1,21.533
7512,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7513,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7514,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7515,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7516,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7517,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7518,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7519,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7520,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7521,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7522,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7563,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7564,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7565,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7566,9,9,2021,10,218,-22.96335,-41.95588,2,Echinodermata,Outros,NA,NA,1,21.533
7527,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7489,9,9,2021,10,218,-22.96335,-41.95588,2,Oncaea,Outros,NA,NA,1,21.533
7529,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7530,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7531,9,9,2021,10,218,-22.96335,-41.95588,2,Corycaeus,Copepoda,NA,NA,1,21.533
7532,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7533,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7534,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7290,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7291,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7292,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7293,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7294,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7295,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7541,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7542,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7543,9,9,2021,10,218,-22.96335,-41.95588,2,Radiolaria,Radiolaria,NA,NA,1,21.533
7544,9,9,2021,10,218,-22.96335,-41.95588,2,Salpa,Outros,NA,NA,1,21.533
7545,9,9,2021,10,218,-22.96335,-41.95588,2,NA,Outros,NA,NA,1,21.533
7546,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7547,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7548,9,9,2021,10,218,-22.96335,-41.95588,2,Cirripedia,Outros,NA,NA,1,21.533
7549,9,9,2021,10,218,-22.96335,-41.95588,2,Cirripedia,Outros,NA,NA,1,21.533
7550,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7551,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7552,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7553,9,9,2021,10,218,-22.96335,-41.95588,2,NA,Outros,NA,NA,1,21.533
7554,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7555,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7556,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7557,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7558,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7559,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7560,9,9,2021,10,218,-22.96335,-41.95588,2,Echinodermata,Outros,NA,NA,1,21.533
7561,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7562,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7483,9,9,2021,10,218,-22.96335,-41.95588,2,Corycaeus,Copepoda,NA,NA,1,21.533
7484,9,9,2021,10,218,-22.96335,-41.95588,2,NA,Outros,NA,NA,1,21.533
7485,9,9,2021,10,218,-22.96335,-41.95588,2,Hemiaulales,Diatoms,NA,NA,1,21.533
7486,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7487,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7528,9,9,2021,10,218,-22.96335,-41.95588,2,Cirripedia,Outros,NA,NA,1,21.533
7284,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7285,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7286,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7287,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7288,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7289,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7453,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7454,9,9,2021,10,218,-22.96335,-41.95588,2,Turbinata,Copepoda,NA,NA,1,21.533
7455,9,9,2021,10,218,-22.96335,-41.95588,2,Salpa,Outros,NA,NA,1,21.533
7456,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7457,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7458,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7296,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7297,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7298,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7299,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7300,9,9,2021,10,218,-22.96335,-41.95588,2,Oncaea,Outros,NA,NA,1,21.533
7301,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7302,9,9,2021,10,218,-22.96335,-41.95588,2,Tintinnida,Outros,NA,NA,1,21.533
7507,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7264,9,9,2021,10,218,-22.96335,-41.95588,2,Acartia,Copepoda,NA,NA,1,21.533
7265,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7266,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7267,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7268,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7269,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7270,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7271,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7272,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7273,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7274,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7275,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7276,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7277,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7278,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7279,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7280,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7281,9,9,2021,10,218,-22.96335,-41.95588,2,Chaetognatha,Gelatinous,NA,NA,1,21.533
7282,9,9,2021,10,218,-22.96335,-41.95588,2,Oncaea,Outros,NA,NA,1,21.533
7488,9,9,2021,10,218,-22.96335,-41.95588,2,Bacillariophyceae,Diatoms,NA,NA,1,21.533
7460,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7461,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7462,9,9,2021,10,218,-22.96335,-41.95588,2,Brachyura,Outros,NA,NA,1,21.533
7323,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7324,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7325,9,9,2021,10,218,-22.96335,-41.95588,2,Tintinnida,Outros,NA,NA,1,21.533
7326,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7327,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7328,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7329,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7330,9,9,2021,10,218,-22.96335,-41.95588,2,Brachyura,Outros,NA,NA,1,21.533
7331,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7336,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7310,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7311,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7312,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7463,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7464,9,9,2021,10,218,-22.96335,-41.95588,2,NA,Outros,NA,NA,1,21.533
7465,9,9,2021,10,218,-22.96335,-41.95588,2,NA,Outros,NA,NA,1,21.533
7303,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7304,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7305,9,9,2021,10,218,-22.96335,-41.95588,2,Oncaea,Outros,NA,NA,1,21.533
7306,9,9,2021,10,218,-22.96335,-41.95588,2,Radiolaria,Radiolaria,NA,NA,1,21.533
7307,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7308,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7309,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7283,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7333,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7334,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7313,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7314,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7315,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7316,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7317,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7318,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7319,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7320,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7321,9,9,2021,10,218,-22.96335,-41.95588,2,Chaetognatha,Gelatinous,NA,NA,1,21.533
7322,9,9,2021,10,218,-22.96335,-41.95588,2,Turbinata,Copepoda,NA,NA,1,21.533
7332,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7473,9,9,2021,10,218,-22.96335,-41.95588,2,Oncaea,Outros,NA,NA,1,21.533
7474,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7335,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7476,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7477,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7478,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7466,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7467,9,9,2021,10,218,-22.96335,-41.95588,2,Corycaeus,Copepoda,NA,NA,1,21.533
7468,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7469,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7470,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7471,9,9,2021,10,218,-22.96335,-41.95588,2,NA,Outros,NA,NA,1,21.533
7472,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7481,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7482,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7475,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7480,9,9,2021,10,218,-22.96335,-41.95588,2,Calanoida,Copepoda,NA,NA,1,21.533
7479,9,9,2021,10,218,-22.96335,-41.95588,2,Maxillopoda,Copepoda,NA,NA,1,21.533
7523,9,9,2021,10,218,-22.96335,-41.95588,2,Oncaea,Outros,NA,NA,1,21.533
7245,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7380,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7381,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7382,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7383,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7384,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7199,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7256,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7201,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7244,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7366,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7246,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7247,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7248,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7249,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7250,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7251,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7252,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7253,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7254,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7255,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7377,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7378,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7379,9,9,2021,10,218,-22.96335,-41.95588,3,Corycaeus,Copepoda,NA,NA,18.7,21.5327
7177,9,9,2021,10,218,-22.96335,-41.95588,3,Oncaea,Outros,NA,NA,18.7,21.5327
7178,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7179,9,9,2021,10,218,-22.96335,-41.95588,3,Calanoida,Copepoda,NA,NA,18.7,21.5327
7180,9,9,2021,10,218,-22.96335,-41.95588,3,Oncaea,Outros,NA,NA,18.7,21.5327
7181,9,9,2021,10,218,-22.96335,-41.95588,3,Oncaea,Outros,NA,NA,18.7,21.5327
7182,9,9,2021,10,218,-22.96335,-41.95588,3,Bacillariophyceae,Diatoms,NA,NA,18.7,21.5327
7183,9,9,2021,10,218,-22.96335,-41.95588,3,Maxillopoda,Copepoda,NA,NA,18.7,21.5327
7184,9,9,2021,10,218,-22.96335,-41.95588,3,Oncaea,Outros,NA,NA,18.7,21.5327
